,計畫區縣市,計畫區代碼,計畫區名稱
0,NWT,F0101,板橋都市計畫
1,NWT,F0102,板橋(浮洲地區)都市計畫
2,NWT,F0103,淡水都市計畫
3,NWT,F0104,淡水(竹圍地區)都市計畫
4,NWT,F0105,蘆洲都市計畫
5,NWT,F0106,三重都市計畫
6,NWT,F0107,汐止都市計畫
7,NWT,F0108,瑞芳都市計畫
8,NWT,F0109,新莊都市計畫
9,NWT,F0110,永和都市計畫
10,NWT,F0111,中和都市計畫
11,NWT,F0112,樹林都市計畫
12,NWT,F0113,樹林(三多里地區)都市計畫
13,NWT,F0114,樹林(山佳地區)都市計畫
14,NWT,F0115,土城都市計畫
15,NWT,F0116,土城(頂埔地區)都市計畫
16,NWT,F0117,新店都市計畫
17,NWT,F0118,新店(安坑地區)都市計畫
18,NWT,F0119,鶯歌都市計畫
19,NWT,F0120,鶯歌(鳳鳴地區)都市計畫
20,NWT,F0121,三峽都市計畫
21,NWT,F0201,三芝都市計畫
22,NWT,F0202,石門都市計畫
23,NWT,F0203,金山都市計畫
24,NWT,F0204,萬里都市計畫
25,NWT,F0206,八里(龍形地區)都市計畫
26,NWT,F0207,五股都市計畫
27,NWT,F0208,泰山都市計畫
28,NWT,F0209,龍壽、迴龍地區都市計畫
29,NWT,F0210,深坑都市計畫
30,NWT,F0211,石碇都市計畫
31,NWT,F0212,平溪都市計畫
32,NWT,F0213,雙溪都市計畫
33,NWT,F0214,澳底都市計畫
34,NWT,F0301,北海岸風景特定區計畫
35,NWT,F0302,淡海新市鎮特定區計畫
36,NWT,F0303,野柳風景特定區計畫
37,NWT,F0304,林口特定區計畫(新北市部分)
38,NWT,F0305,十分風景特定區計畫
39,NWT,F0306,東北角海岸(含大溪海岸及頭城濱海)風景特定區計畫(新北市部分)
40,NWT,F0307,臺北大學社區特定區計畫
41,NWT,F0308,新店水源特定區計畫
42,NWT,F0309,臺北水源特定區計畫
43,NWT,F0310,烏來水源特定區計畫
44,NWT,F0311,坪林水源特定區計畫
45,NWT,F0312,臺北港特定區計畫
46,TPE,A0101,臺北市都市計畫
47,TAO,H0101,桃園市都市計畫
48,TAO,H0102,南崁地區都市計畫
49,TAO,H0103,中壢平鎮都市計畫
50,TAO,H0104,八德(大湳地區)都市計畫
51,TAO,H0105,中壢、楊梅、新屋、觀音(四行政轄區交界處)都市計畫
52,TAO,H0106,楊梅都市計畫
53,TAO,H0107,八德(八德地區)都市計畫
54,TAO,H0108,大溪鎮(埔頂地區)都市計畫
55,TAO,H0109,大溪都市計畫
56,TAO,H0201,大園都市計畫
57,TAO,H0202,大園(果林地區)都市計畫
58,TAO,H0203,觀音(草漯地區)都市計畫
59,TAO,H0204,觀音都市計畫
60,TAO,H0205,觀音(新坡地區)都市計畫
61,TAO,H0206,蘆竹(大竹地區)都市計畫
62,TAO,H0207,龍壽、迴龍地區都市計畫
63,TAO,H0208,新屋都市計畫
64,TAO,H0209,縱貫公路桃園內壢間都市計畫
65,TAO,H0210,龜山都市計畫
66,TAO,H0211,楊梅(富岡、豐野地區)都市計畫
67,TAO,H0212,中壢(龍岡地區)都市計畫
68,TAO,H0213,平鎮(山子頂地區)都市計畫
69,TAO,H0214,龍潭都市計畫
70,TAO,H0215,石門都市計畫
71,TAO,H0216,復興都市計畫
72,TAO,H0301,林口特定區計畫(桃園市部分)
73,TAO,H0302,桃園航空城貨運園區暨客貨園區(大園南港地區)特定區計畫
74,TAO,H0303,高速鐵路桃園車站特定區計畫
75,TAO,H0304,高速公路中壢及內壢交流道附近特定區計畫
76,TAO,H0305,高速公路楊梅交流道附近特定區計畫
77,TAO,H0306,石門水庫水源特定區計畫
78,TAO,H0307,小烏來風景特定區計畫
79,TAO,H0308,巴陵達觀山風景特定區計畫
80,TXG,B0103,臺中市都市計畫主要計畫
81,TXG,B0301,臺中市大坑風景特定區計畫
82,TXG,L0107,東勢都市計畫
83,TXG,L0108,大甲都市計畫
84,TXG,L0109,大甲(日南地區)都市計畫
85,TXG,L0110,臺中市大平霧地區都市計畫
86,TXG,L0111,臺中市豐潭雅神地區都市計畫
87,TXG,L0201,后里都市計畫
88,TXG,L0205,新社都市計畫
89,TXG,L0206,外埔都市計畫
90,TXG,L0207,大安都市計畫
91,TXG,L0208,烏日都市計畫
92,TXG,L0209,大肚都市計畫
93,TXG,L0302,高速公路王田交流道附近特定區計畫
94,TXG,L0303,台中港特定區計畫
95,TXG,L0304,石岡水壩特定區計畫
96,TXG,L0305,谷關風景特定區計畫
97,TXG,L0306,梨山風景特定區計畫
98,TXG,L0307,梨山(新佳陽地區)風景特定區計畫
99,TXG,L0308,梨山(松茂地區)風景特定區計畫
100,TXG,L0309,梨山(環山地區)風景特定區計畫
101,TXG,L0310,鐵砧山風景特定區計畫
102,TXG,L0311,中部科學工業園區台中基地附近特定區計畫
103,TNN,D0101,臺南市主要計畫
104,TNN,D0301,臺南市安平港歷史風貌園區特定區計畫
105,TNN,R0101,新營都市計畫
106,TNN,R0102,鹽水都市計畫
107,TNN,R0103,白河都市計畫
108,TNN,R0104,佳里都市計畫
109,TNN,R0105,新化都市計畫
110,TNN,R0106,善化都市計畫
111,TNN,R0107,學甲都市計畫
112,TNN,R0111,永康六甲頂都市計畫
113,TNN,R0112,官田(含隆田地區)都市計畫
114,TNN,R0201,柳營都市計畫
115,TNN,R0202,後壁都市計畫
116,TNN,R0203,東山都市計畫
